id,name,psc,latitude,longitude,location,country
5160,Telč,58856,49.183338,15.454373,SRID=4326;POINT (49.183338 15.454373),CZ
5161,Telecí,56994,49.694722,16.180806,SRID=4326;POINT (49.694722 16.180806),CZ
5162,Telnice,66459,49.101969,16.71785,SRID=4326;POINT (49.101969 16.717850),CZ
5163,Telnice,40338,50.733064,13.957891,SRID=4326;POINT (50.733064 13.957891),CZ
5164,Temelín,37301,49.19294,14.348847,SRID=4326;POINT (49.192940 14.348847),CZ
5165,Temešvár,39701,49.356486,14.263631,SRID=4326;POINT (49.356486 14.263631),CZ
5166,Těmice,69684,49.00165,17.265026,SRID=4326;POINT (49.001650 17.265026),CZ
5167,Těmice,39496,49.351896,15.060549,SRID=4326;POINT (49.351896 15.060549),CZ
5168,Těně,33845,49.7513,13.796268,SRID=4326;POINT (49.751300 13.796268),CZ
5169,Teplá,36461,49.981953,12.86316,SRID=4326;POINT (49.981953 12.863160),CZ
5170,Teplice,41501,50.644558,13.835384,SRID=4326;POINT (50.644558 13.835384),CZ
5171,Teplice nad Bečvou,75301,49.528613,17.74019,SRID=4326;POINT (49.528613 17.740190),CZ
5172,Teplice nad Metují,54957,50.59443,16.170483,SRID=4326;POINT (50.594430 16.170483),CZ
5173,Teplička,36464,50.148702,12.85168,SRID=4326;POINT (50.148702 12.851680),CZ
5174,Teplýšovice,25601,49.806208,14.801688,SRID=4326;POINT (49.806208 14.801688),CZ
5175,Terešov,33808,49.896783,13.69985,SRID=4326;POINT (49.896783 13.699850),CZ
5176,Terezín,69614,48.955636,16.942659,SRID=4326;POINT (48.955636 16.942659),CZ
5177,Terezín,41155,50.511102,14.150658,SRID=4326;POINT (50.511102 14.150658),CZ
5178,Těrlicko,73542,49.752419,18.48302,SRID=4326;POINT (49.752419 18.483020),CZ
5179,Těšany,66454,49.039658,16.770132,SRID=4326;POINT (49.039658 16.770132),CZ
5180,Těšetice,67161,48.888944,16.158304,SRID=4326;POINT (48.888944 16.158304),CZ
5181,Těšetice,78346,49.593272,17.126175,SRID=4326;POINT (49.593272 17.126175),CZ
5182,Těškov,33701,49.802297,13.698135,SRID=4326;POINT (49.802297 13.698135),CZ
5183,Těškovice,74764,49.814189,18.02101,SRID=4326;POINT (49.814189 18.021010),CZ
5184,Těšovice,38301,49.057215,14.024005,SRID=4326;POINT (49.057215 14.024005),CZ
5185,Těšovice,35601,50.182307,12.676998,SRID=4326;POINT (50.182307 12.676998),CZ
5186,Tetčice,66417,49.170348,16.405736,SRID=4326;POINT (49.170348 16.405736),CZ
5187,Tetín,50771,50.42462,15.636457,SRID=4326;POINT (50.424620 15.636457),CZ
5188,Tetín,26601,49.94942,14.102357,SRID=4326;POINT (49.949420 14.102357),CZ
5189,Tetov,53316,50.080585,15.445738,SRID=4326;POINT (50.080585 15.445738),CZ
5190,Tchořovice,38801,49.437148,13.809985,SRID=4326;POINT (49.437148 13.809985),CZ
5191,Tichá,74274,49.570086,18.221589,SRID=4326;POINT (49.570086 18.221589),CZ
5192,Tichonice,25763,49.777164,14.992382,SRID=4326;POINT (49.777164 14.992382),CZ
5193,Tichov,76601,49.177486,17.982741,SRID=4326;POINT (49.177486 17.982741),CZ
5194,Tis,58243,49.705057,15.493338,SRID=4326;POINT (49.705057 15.493338),CZ
5195,Tis u Blatna,33165,50.085845,13.347908,SRID=4326;POINT (50.085845 13.347908),CZ
5196,Tisá,40336,50.784605,14.031415,SRID=4326;POINT (50.784605 14.031415),CZ
5197,Tísek,74301,49.792766,18.014705,SRID=4326;POINT (49.792766 18.014705),CZ
5198,Tisem,25756,49.755736,14.608061,SRID=4326;POINT (49.755736 14.608061),CZ
5199,Tismice,28201,50.056273,14.821163,SRID=4326;POINT (50.056273 14.821163),CZ
5200,Tisová,56601,49.936258,16.224633,SRID=4326;POINT (49.936258 16.224633),CZ
5201,Tisová,34801,49.765288,12.713935,SRID=4326;POINT (49.765288 12.713935),CZ
5202,Tisovec,53973,49.824479,15.914659,SRID=4326;POINT (49.824479 15.914659),CZ
5203,Tišice,27715,50.269904,14.554222,SRID=4326;POINT (50.269904 14.554222),CZ
5204,Tišnov,66601,49.348818,16.424485,SRID=4326;POINT (49.348818 16.424485),CZ
5205,Tišnovská Nová Ves,59451,49.383986,16.293684,SRID=4326;POINT (49.383986 16.293684),CZ
5206,Tištín,79829,49.306988,17.165505,SRID=4326;POINT (49.306988 17.165505),CZ
5207,Tlučná,33026,49.724362,13.235453,SRID=4326;POINT (49.724362 13.235453),CZ
5208,Tlumačov,34401,49.40364,12.929095,SRID=4326;POINT (49.403640 12.929095),CZ
5209,Tlumačov,76362,49.253605,17.495694,SRID=4326;POINT (49.253605 17.495694),CZ
5210,Tlustice,26801,49.850393,13.885465,SRID=4326;POINT (49.850393 13.885465),CZ
5211,Tmaň,26721,49.907174,14.033932,SRID=4326;POINT (49.907174 14.033932),CZ
5212,Točník,26751,49.8855,13.882878,SRID=4326;POINT (49.885500 13.882878),CZ
5213,Tochovice,26281,49.59559,13.992506,SRID=4326;POINT (49.595590 13.992506),CZ
5214,Tojice,33501,49.492585,13.62662,SRID=4326;POINT (49.492585 13.626620),CZ
5215,Tomice,25768,49.645143,15.157197,SRID=4326;POINT (49.645143 15.157197),CZ
5216,Topolany,68201,49.277451,17.040411,SRID=4326;POINT (49.277451 17.040411),CZ
5217,Topolná,68711,49.121967,17.544444,SRID=4326;POINT (49.121967 17.544444),CZ
5218,Toušice,28163,49.987988,15.006578,SRID=4326;POINT (49.987988 15.006578),CZ
5219,Toužetín,44001,50.315391,13.886229,SRID=4326;POINT (50.315391 13.886229),CZ
5220,Toužim,36401,50.060604,12.985171,SRID=4326;POINT (50.060604 12.985171),CZ
5221,Tovačov,75101,49.429711,17.285739,SRID=4326;POINT (49.429711 17.285739),CZ
5222,Tovéř,78316,49.640125,17.31912,SRID=4326;POINT (49.640125 17.319120),CZ
5223,Traplice,68704,49.130976,17.436325,SRID=4326;POINT (49.130976 17.436325),CZ
5224,Travčice,41201,50.503389,14.189878,SRID=4326;POINT (50.503389 14.189878),CZ
5225,Trboušany,66464,49.050783,16.46295,SRID=4326;POINT (49.050783 16.462950),CZ
5226,Trhanov,34533,49.420341,12.845635,SRID=4326;POINT (49.420341 12.845635),CZ
5227,Trhová Kamenice,53952,49.786894,15.816049,SRID=4326;POINT (49.786894 15.816049),CZ
5228,Trhové Dušníky,26101,49.71355,14.012935,SRID=4326;POINT (49.713550 14.012935),CZ
5229,Trhové Sviny,37401,48.842418,14.639338,SRID=4326;POINT (48.842418 14.639338),CZ
5230,Trhový Štěpánov,25763,49.711576,15.013668,SRID=4326;POINT (49.711576 15.013668),CZ
5231,Trmice,40004,50.642967,13.994605,SRID=4326;POINT (50.642967 13.994605),CZ
5232,Trnava,67401,49.254784,15.924247,SRID=4326;POINT (49.254784 15.924247),CZ
5233,Trnava,76318,49.296132,17.842017,SRID=4326;POINT (49.296132 17.842017),CZ
